CLASS,type,PlotID,longitude,latitude,Year,h,v,Coast,row,col,rowResize,colResize
7,Herbaceous,21234,-124.193,41.8807,2016,1,5,West,4172,4208,126,127
7,Herbaceous,21235,-124.196,41.8815,2016,1,5,West,4167,4201,125,127
7,Herbaceous,21236,-124.194,41.8821,2016,1,5,West,4166,4207,125,127
7,Herbaceous,21238,-124.203,41.8818,2016,1,5,West,4160,4183,125,126
6,Woody,21239,-124.204,41.8831,2016,1,5,West,4154,4182,125,126
10,Land-water interface,21247,-124.16,41.9018,2016,1,5,West,4123,4318,124,130
10,Land-water interface,21248,-124.16,41.9055,2016,1,5,West,4110,4322,124,130
6,Woody,21250,-124.167,41.9107,2016,1,5,West,4086,4309,123,130
7,Herbaceous,21251,-124.195,41.9047,2016,1,5,West,4085,4229,123,127
7,Herbaceous,21252,-124.193,41.9052,2016,1,5,West,4084,4235,123,128
7,Herbaceous,21254,-124.197,41.9098,2016,1,5,West,4065,4229,122,127
7,Herbaceous,21255,-124.19,41.9115,2016,1,5,West,4064,4249,122,128
5,Open water,21257,-124.186,41.9138,2016,1,5,West,4059,4262,122,128
5,Open water,21258,-124.193,41.913,2016,1,5,West,4057,4243,122,128
5,Open water,21259,-124.197,41.9133,2016,1,5,West,4052,4233,122,127
10,Land-water interface,21260,-124.197,41.9139,2016,1,5,West,4050,4234,122,127
7,Herbaceous,21261,-124.197,41.9147,2016,1,5,West,4047,4234,122,128
10,Land-water interface,21262,-124.198,41.9163,2016,1,5,West,4041,4234,122,127
7,Herbaceous,21263,-124.197,41.9171,2016,1,5,West,4039,4237,122,128
7,Herbaceous,21264,-124.198,41.9172,2016,1,5,West,4038,4235,122,128
10,Land-water interface,21265,-124.199,41.9187,2016,1,5,West,4031,4234,121,127
5,Open water,21266,-124.202,41.9199,2016,1,5,West,4025,4227,121,127
10,Land-water interface,21267,-124.199,41.9216,2016,1,5,West,4021,4237,121,128
10,Land-water interface,21268,-124.203,41.9264,2016,1,5,West,4001,4231,121,127
10,Land-water interface,21269,-124.201,41.9271,2016,1,5,West,4000,4237,120,128
10,Land-water interface,21270,-124.201,41.9275,2016,1,5,West,3998,4238,120,128
10,Land-water interface,21271,-124.2,41.9296,2016,1,5,West,3992,4243,120,128
10,Land-water interface,21274,-124.197,41.9313,2016,1,5,West,3988,4253,120,128
10,Land-water interface,21276,-124.198,41.9321,2016,1,5,West,3984,4251,120,128
5,Open water,21281,-124.205,41.9469,2016,1,5,West,3926,4249,118,128
10,Land-water interface,21296,-124.211,42.005,2016,1,5,West,3714,4296,112,129
10,Land-water interface,21297,-124.214,42.0052,2016,1,5,West,3711,4289,112,129
10,Land-water interface,21303,-124.224,42.0103,2016,1,5,West,3685,4268,111,129
10,Land-water interface,21307,-124.226,42.0123,2016,1,5,West,3676,4265,111,128
10,Land-water interface,21309,-124.232,42.0135,2016,1,5,West,3667,4250,110,128
10,Land-water interface,21313,-124.238,42.0186,2016,1,5,West,3644,4240,110,128
10,Land-water interface,21316,-124.237,42.0194,2016,1,5,West,3642,4244,110,128
10,Land-water interface,21320,-124.242,42.0247,2016,1,5,West,3619,4236,109,128
10,Land-water interface,21336,-124.279,42.0438,2016,1,5,West,3521,4160,106,125
10,Land-water interface,21337,-124.28,42.0439,2016,1,5,West,3520,4158,106,125
10,Land-water interface,21338,-124.273,42.0459,2016,1,5,West,3518,4178,106,126
10,Land-water interface,21339,-124.279,42.0451,2016,1,5,West,3517,4162,106,125
10,Land-water interface,21341,-124.276,42.0463,2016,1,5,West,3515,4171,106,126
10,Land-water interface,21343,-124.29,42.0451,2016,1,5,West,3508,4133,106,124
10,Land-water interface,21344,-124.291,42.0448,2016,1,5,West,3508,4130,106,124
10,Land-water interface,21349,-124.295,42.0489,2016,1,5,West,3490,4124,105,124
10,Land-water interface,21350,-124.295,42.0498,2016,1,5,West,3487,4125,105,124
10,Land-water interface,21352,-124.297,42.05,2016,1,5,West,3485,4120,105,124
10,Land-water interface,21357,-124.301,42.056,2016,1,5,West,3460,4116,104,124
10,Land-water interface,21358,-124.301,42.0567,2016,1,5,West,3457,4117,104,124
10,Land-water interface,21359,-124.301,42.0573,2016,1,5,West,3455,4117,104,124
10,Land-water interface,21361,-124.301,42.0578,2016,1,5,West,3454,4118,104,124
10,Land-water interface,21365,-124.309,42.0643,2016,1,5,West,3424,4104,103,124
10,Land-water interface,21369,-124.317,42.068,2016,1,5,West,3404,4087,103,123
10,Land-water interface,21376,-124.332,42.0854,2016,1,5,West,3330,4067,100,122
10,Land-water interface,21381,-124.344,42.0935,2016,1,5,West,3292,4044,99,122
10,Land-water interface,21386,-124.353,42.1053,2016,1,5,West,3242,4034,98,122
10,Land-water interface,21387,-124.352,42.1097,2016,1,5,West,3228,4041,97,122
10,Land-water interface,21389,-124.352,42.1112,2016,1,5,West,3222,4043,97,122
10,Land-water interface,21392,-124.357,42.1159,2016,1,5,West,3201,4035,97,122
10,Land-water interface,21395,-124.355,42.1204,2016,1,5,West,3187,4045,96,122
10,Land-water interface,21397,-124.354,42.1221,2016,1,5,West,3182,4050,96,122
10,Land-water interface,21399,-124.354,42.1234,2016,1,5,West,3177,4051,96,122
7,Herbaceous,21400,-124.353,42.127,2016,1,5,West,3165,4058,95,122
10,Land-water interface,21442,-124.38,42.2206,2016,1,5,West,2810,4090,85,123
5,Open water,21446,-124.382,42.2215,2016,1,5,West,2805,4085,85,123
10,Land-water interface,21449,-124.384,42.2228,2016,1,5,West,2799,4082,84,123
5,Open water,21457,-124.386,42.2274,2016,1,5,West,2781,4081,84,123
10,Land-water interface,21458,-124.387,42.2273,2016,1,5,West,2780,4079,84,123
10,Land-water interface,21476,-124.401,42.24,2016,1,5,West,2724,4056,82,122
10,Land-water interface,21484,-124.406,42.2721,2016,1,5,West,2606,4078,79,123
10,Land-water interface,21486,-124.413,42.302,2016,1,5,West,2493,4093,75,123
6,Woody,21507,-124.418,42.3883,2016,1,5,West,2182,4175,66,126
9,Developed-Barren,21508,-124.419,42.3882,2016,1,5,West,2182,4172,66,126
6,Woody,21509,-124.418,42.3884,2016,1,5,West,2182,4175,66,126
9,Developed-Barren,21510,-124.419,42.3885,2016,1,5,West,2180,4172,66,126
10,Land-water interface,21511,-124.42,42.3886,2016,1,5,West,2179,4170,66,126
10,Land-water interface,21512,-124.417,42.3893,2016,1,5,West,2179,4178,66,126
5,Open water,21513,-124.42,42.3888,2016,1,5,West,2179,4170,66,126
10,Land-water interface,21514,-124.422,42.3883,2016,1,5,West,2179,4164,66,125
5,Open water,21515,-124.418,42.3892,2016,1,5,West,2179,4176,66,126
5,Open water,21516,-124.421,42.3888,2016,1,5,West,2178,4167,66,126
5,Open water,21517,-124.422,42.3887,2016,1,5,West,2177,4165,66,125
10,Land-water interface,21518,-124.419,42.3896,2016,1,5,West,2177,4173,66,126
7,Herbaceous,21519,-124.421,42.3896,2016,1,5,West,2175,4168,66,126
7,Herbaceous,21520,-124.42,42.3904,2016,1,5,West,2173,4172,66,126
6,Woody,21575,-124.4,42.6102,2016,1,5,West,1406,4465,43,134
8,Cultivated,21679,-124.521,42.7829,2016,1,5,West,695,4341,21,131
8,Cultivated,21680,-124.516,42.7861,2016,1,5,West,687,4357,21,131
8,Cultivated,21681,-124.51,42.7882,2016,1,5,West,685,4375,21,132
8,Cultivated,21682,-124.519,42.7881,2016,1,5,West,678,4352,21,131
8,Cultivated,21683,-124.514,42.7907,2016,1,5,West,672,4368,21,132
8,Cultivated,21684,-124.521,42.7909,2016,1,5,West,666,4350,20,131
8,Cultivated,21686,-124.501,42.7999,2016,1,5,West,650,4411,20,133
1,Tidal marsh,21687,-124.52,42.7962,2016,1,5,West,648,4358,20,131
1,Tidal marsh,21688,-124.52,42.7971,2016,1,5,West,645,4359,20,131
8,Cultivated,21690,-124.524,42.7974,2016,1,5,West,641,4349,20,131
7,Herbaceous,21700,-124.542,42.8464,2016,1,5,West,452,4356,14,131
8,Cultivated,21705,-124.485,42.903,2016,1,5,West,296,4566,9,137
8,Cultivated,21706,-124.484,42.9037,2016,1,5,West,294,4570,9,138
8,Cultivated,21707,-124.482,42.905,2016,1,5,West,291,4576,9,138
8,Cultivated,21708,-124.484,42.907,2016,1,5,West,283,4573,9,138
8,Cultivated,21709,-124.481,42.9081,2016,1,5,West,281,4582,9,138
8,Cultivated,21710,-124.492,42.9125,2016,1,5,West,257,4559,8,137
8,Cultivated,21711,-124.462,42.9201,2016,1,5,West,254,4644,8,140
7,Herbaceous,21712,-124.495,42.9135,2016,1,5,West,251,4552,8,137
7,Herbaceous,21713,-124.498,42.9153,2016,1,5,West,242,4546,8,137
7,Herbaceous,21714,-124.497,42.9169,2016,1,5,West,237,4550,8,137
8,Cultivated,21715,-124.492,42.9191,2016,1,5,West,233,4566,7,137
8,Cultivated,21716,-124.482,42.9214,2016,1,5,West,233,4594,7,138
7,Herbaceous,21717,-124.488,42.9214,2016,1,5,West,228,4579,7,138
7,Herbaceous,21718,-124.485,42.9227,2016,1,5,West,226,4588,7,138
7,Herbaceous,21719,-124.487,42.9246,2016,1,5,West,218,4585,7,138
8,Cultivated,21720,-124.478,42.9269,2016,1,5,West,217,4611,7,139
7,Herbaceous,21723,-124.483,42.9277,2016,1,5,West,210,4598,7,138
7,Herbaceous,21724,-124.485,42.9285,2016,1,5,West,205,4594,7,138
8,Cultivated,21725,-124.474,42.9339,2016,1,5,West,195,4629,6,139
8,Cultivated,21728,-124.463,42.9376,2016,1,5,West,190,4661,6,140
8,Cultivated,21731,-124.453,42.9478,2016,1,5,West,162,4698,5,141
7,Herbaceous,21733,-124.483,42.9429,2016,1,5,West,156,4615,5,139
8,Cultivated,21734,-124.456,42.9494,2016,1,5,West,154,4692,5,141
8,Cultivated,21735,-124.451,42.9523,2016,1,5,West,148,4708,5,142
7,Herbaceous,21736,-124.481,42.9457,2016,1,5,West,147,4623,5,139
9,Developed-Barren,21744,-124.472,42.9551,2016,1,5,West,121,4657,4,140
7,Herbaceous,21745,-124.476,42.9555,2016,1,5,West,116,4647,4,140
6,Woody,21751,-124.466,42.961,2016,1,5,West,105,4679,4,141
6,Woody,21756,-124.467,42.9649,2016,1,5,West,90,4681,3,141
8,Cultivated,21757,-124.445,42.9707,2016,1,5,West,87,4744,3,143
8,Cultivated,21759,-124.456,42.9692,2016,1,5,West,84,4714,3,142
6,Woody,21765,-124.451,42.9758,2016,1,5,West,64,4734,2,143
8,Cultivated,21771,-124.44,42.9832,2016,1,5,West,47,4771,2,144
6,Woody,21775,-124.459,42.9811,2016,1,5,West,39,4719,2,142
9,Developed-Barren,21776,-124.467,42.9797,2016,1,5,West,37,4697,2,141
8,Cultivated,21777,-124.441,42.9864,2016,1,5,West,34,4772,2,144
6,Woody,21780,-124.457,42.9875,2016,1,5,West,18,4731,1,142
7,Herbaceous,35359,-124.153,41.729,1990,1,5,West,4745,4148,143,125
7,Herbaceous,35365,-124.186,41.8007,1990,1,5,West,4463,4139,134,125
7,Herbaceous,35366,-124.17,41.8072,1990,1,5,West,4452,4188,134,126
7,Herbaceous,35367,-124.172,41.81,1990,1,5,West,4441,4186,134,126
7,Herbaceous,35368,-124.193,41.8054,1990,1,5,West,4440,4126,134,124
7,Herbaceous,35369,-124.203,41.825,1990,1,5,West,4362,4121,131,124
7,Herbaceous,35370,-124.213,41.8234,1990,1,5,West,4360,4093,131,123
7,Herbaceous,35371,-124.2,41.8278,1990,1,5,West,4355,4132,131,124
7,Herbaceous,35372,-124.216,41.8252,1988,1,5,West,4351,4087,131,123
7,Herbaceous,35373,-124.219,41.8389,1986,1,5,West,4300,4094,129,123
7,Herbaceous,35374,-124.217,41.8426,1990,1,5,West,4288,4103,129,124
7,Herbaceous,35375,-124.211,41.8553,1990,1,5,West,4248,4133,128,124
7,Herbaceous,35376,-124.189,41.8611,1990,1,5,West,4245,4197,128,126
7,Herbaceous,35377,-124.208,41.8573,1990,1,5,West,4243,4143,128,125
7,Herbaceous,35378,-124.208,41.8573,1990,1,5,West,4243,4143,128,125
7,Herbaceous,35379,-124.209,41.8579,1990,1,5,West,4240,4141,128,125
7,Herbaceous,35380,-124.212,41.8574,1990,1,5,West,4240,4133,128,124
7,Herbaceous,35381,-124.19,41.8623,1990,1,5,West,4240,4196,128,126
7,Herbaceous,35382,-124.19,41.8804,1990,1,5,West,4175,4215,126,127
7,Herbaceous,35383,-124.194,41.8821,1990,1,5,West,4166,4207,125,127
10,Land-water interface,35385,-124.197,41.9139,1990,1,5,West,4050,4234,122,127
10,Land-water interface,35386,-124.214,42.0052,1990,1,5,West,3711,4289,112,129
9,Developed-Barren,35397,-124.419,42.3882,1990,1,5,West,2182,4172,66,126
10,Land-water interface,35398,-124.42,42.3886,1990,1,5,West,2179,4170,66,126
5,Open water,35399,-124.42,42.3888,1990,1,5,West,2179,4170,66,126
5,Open water,35400,-124.418,42.3892,1985,1,5,West,2179,4176,66,126
8,Cultivated,35414,-124.524,42.7974,1990,1,5,West,641,4349,20,131
8,Cultivated,35415,-124.485,42.903,1990,1,5,West,296,4566,9,137
8,Cultivated,35416,-124.482,42.905,1990,1,5,West,291,4576,9,138
7,Herbaceous,35417,-124.485,42.9285,1990,1,5,West,205,4594,7,138
8,Cultivated,35419,-124.451,42.9523,1990,1,5,West,148,4708,5,142
7,Herbaceous,35420,-124.476,42.9555,1990,1,5,West,116,4647,4,140
8,Cultivated,35421,-124.44,42.9832,1990,1,5,West,47,4771,2,144
10,Land-water interface,18133,-124.378,40.3963,2016,1,6,West,4317,2092,130,63
10,Land-water interface,18153,-124.386,40.4028,2016,1,6,West,4287,2078,129,63
10,Land-water interface,18156,-124.391,40.4054,2016,1,6,West,4274,2067,129,63
10,Land-water interface,18173,-124.396,40.4136,2016,1,6,West,4241,2063,128,62
10,Land-water interface,18174,-124.397,40.4146,2016,1,6,West,4236,2062,128,62
10,Land-water interface,18178,-124.399,40.4162,2016,1,6,West,4229,2058,127,62
10,Land-water interface,18195,-124.401,40.42,2016,1,6,West,4214,2057,127,62
10,Land-water interface,18199,-124.403,40.4224,2016,1,6,West,4203,2054,127,62
8,Cultivated,18394,-124.185,40.5925,2016,1,6,West,3775,2824,114,85
8,Cultivated,18396,-124.23,40.5834,2016,1,6,West,3771,2694,114,81
8,Cultivated,18407,-124.234,40.5897,2016,1,6,West,3745,2690,113,81
8,Cultivated,18412,-124.235,40.5926,2016,1,6,West,3734,2690,113,81
8,Cultivated,18425,-124.28,40.5877,2016,1,6,West,3715,2565,112,77
8,Cultivated,18432,-124.276,40.5935,2016,1,6,West,3697,2582,111,78
8,Cultivated,18434,-124.29,40.591,2016,1,6,West,3695,2542,111,77
8,Cultivated,18435,-124.21,40.6107,2016,1,6,West,3690,2777,111,84
8,Cultivated,18440,-124.291,40.5941,2016,1,6,West,3683,2542,111,77
8,Cultivated,18441,-124.276,40.5978,2016,1,6,West,3682,2586,111,78
8,Cultivated,18442,-124.229,40.609,2016,1,6,West,3680,2724,111,82
8,Cultivated,18444,-124.285,40.5974,2016,1,6,West,3676,2562,111,77
8,Cultivated,18446,-124.274,40.6014,2016,1,6,West,3671,2596,111,78
8,Cultivated,18447,-124.326,40.5896,2016,1,6,West,3670,2444,111,74
8,Cultivated,18455,-124.284,40.6022,2016,1,6,West,3660,2570,110,78
8,Cultivated,18456,-124.232,40.6143,2016,1,6,West,3659,2722,110,82
8,Cultivated,18461,-124.267,40.6085,2016,1,6,West,3651,2622,110,79
8,Cultivated,18470,-124.253,40.6166,2016,1,6,West,3634,2668,109,81
8,Cultivated,18471,-124.267,40.6148,2016,1,6,West,3629,2629,109,79
8,Cultivated,18473,-124.27,40.6156,2016,1,6,West,3623,2622,109,79
8,Cultivated,18474,-124.271,40.6154,2016,1,6,West,3623,2619,109,79
5,Open water,18475,-124.254,40.6198,2016,1,6,West,3621,2669,109,81
8,Cultivated,18476,-124.276,40.6147,2016,1,6,West,3622,2605,109,79
8,Cultivated,18478,-124.291,40.6125,2016,1,6,West,3617,2562,109,77
8,Cultivated,18479,-124.261,40.6194,2016,1,6,West,3617,2650,109,80
8,Cultivated,18480,-124.262,40.6195,2016,1,6,West,3616,2648,109,80
8,Cultivated,18481,-124.291,40.6143,2016,1,6,West,3611,2564,109,77
5,Open water,18482,-124.261,40.6218,2016,1,6,West,3609,2653,109,80
8,Cultivated,18483,-124.297,40.6148,2016,1,6,West,3604,2549,109,77
8,Cultivated,18484,-124.291,40.6177,2016,1,6,West,3599,2568,108,78
10,Land-water interface,18485,-124.269,40.6241,2016,1,6,West,3594,2634,108,80
10,Land-water interface,18486,-124.269,40.6252,2016,1,6,West,3590,2635,108,80
8,Cultivated,18487,-124.301,40.6202,2016,1,6,West,3582,2544,108,77
6,Woody,18488,-124.3,40.6211,2016,1,6,West,3579,2548,108,77
6,Woody,18489,-124.303,40.6212,2016,1,6,West,3576,2540,108,77
6,Woody,18490,-124.302,40.6217,2016,1,6,West,3575,2543,108,77
6,Woody,18491,-124.303,40.6221,2016,1,6,West,3573,2541,108,77
6,Woody,18492,-124.307,40.6237,2016,1,6,West,3564,2532,107,76
6,Woody,18493,-124.311,40.6232,2016,1,6,West,3563,2521,107,76
7,Herbaceous,18496,-124.291,40.6367,2016,1,6,West,3531,2589,106,78
7,Herbaceous,18497,-124.286,40.6381,2016,1,6,West,3530,2604,106,79
7,Herbaceous,18498,-124.292,40.6383,2016,1,6,West,3524,2588,106,78
7,Herbaceous,18500,-124.297,40.6383,2016,1,6,West,3520,2575,106,78
7,Herbaceous,18501,-124.294,40.6423,2016,1,6,West,3508,2587,106,78
7,Herbaceous,18502,-124.296,40.6421,2016,1,6,West,3507,2581,106,78
7,Herbaceous,18508,-124.296,40.6452,2016,1,6,West,3496,2585,105,78
8,Cultivated,18571,-124.2,40.6895,2016,1,6,West,3417,2890,103,87
8,Cultivated,18578,-124.198,40.6914,2016,1,6,West,3412,2897,103,87
5,Open water,18602,-124.251,40.705,2016,1,6,West,3320,2771,100,84
7,Herbaceous,18609,-124.268,40.7036,2016,1,6,West,3311,2724,100,82
7,Herbaceous,18610,-124.266,40.7063,2016,1,6,West,3303,2732,100,82
7,Herbaceous,18611,-124.264,40.7089,2016,1,6,West,3295,2740,99,83
5,Open water,18613,-124.226,40.721,2016,1,6,West,3283,2855,99,86
7,Herbaceous,18614,-124.262,40.713,2016,1,6,West,3282,2750,99,83
8,Cultivated,18620,-124.189,40.7367,2016,1,6,West,3257,2971,98,90
8,Cultivated,18621,-124.188,40.7381,2016,1,6,West,3253,2975,98,90
7,Herbaceous,18622,-124.255,40.723,2016,1,6,West,3252,2780,98,84
5,Open water,18623,-124.228,40.7294,2016,1,6,West,3251,2859,98,86
7,Herbaceous,18626,-124.247,40.7319,2016,1,6,West,3227,2811,97,85
7,Herbaceous,18646,-124.233,40.747,2016,1,6,West,3185,2864,96,86
7,Herbaceous,18647,-124.239,40.7467,2016,1,6,West,3181,2848,96,86
7,Herbaceous,18651,-124.232,40.7513,2016,1,6,West,3170,2872,96,87
7,Herbaceous,18677,-124.122,40.7919,2016,1,6,West,3115,3210,94,97
7,Herbaceous,18682,-124.122,40.793,2016,1,6,West,3111,3211,94,97
7,Herbaceous,18683,-124.119,40.7953,2016,1,6,West,3105,3221,94,97
7,Herbaceous,18684,-124.123,40.7947,2016,1,6,West,3104,3210,94,97
1,Tidal marsh,18686,-124.096,40.802,2016,1,6,West,3100,3290,93,99
5,Open water,18689,-124.101,40.8018,2016,1,6,West,3096,3276,93,99
5,Open water,18690,-124.113,40.8011,2016,1,6,West,3089,3244,93,98
5,Open water,18692,-124.106,40.8036,2016,1,6,West,3086,3265,93,98
7,Herbaceous,18695,-124.135,40.8038,2016,1,6,West,3062,3188,92,96
5,Open water,18697,-124.138,40.8037,2016,1,6,West,3060,3180,92,96
7,Herbaceous,18711,-124.165,40.8058,2016,1,6,West,3030,3110,91,94
4,Tidal flats,18712,-124.093,40.8226,2016,1,6,West,3029,3320,91,100
5,Open water,18717,-124.239,40.7908,2016,1,6,West,3023,2896,91,87
6,Woody,18721,-124.158,40.8103,2016,1,6,West,3020,3134,91,94
7,Herbaceous,18728,-124.175,40.8086,2016,1,6,West,3012,3086,91,93
6,Woody,18737,-124.173,40.8099,2016,1,6,West,3009,3093,91,93
7,Herbaceous,18738,-124.178,40.8089,2016,1,6,West,3008,3079,91,93
1,Tidal marsh,18751,-124.17,40.8143,2016,1,6,West,2996,3106,90,94
1,Tidal marsh,18753,-124.16,40.8175,2016,1,6,West,2992,3136,90,95
4,Tidal flats,18754,-124.154,40.8195,2016,1,6,West,2990,3154,90,95
1,Tidal marsh,18764,-124.083,40.8414,2016,1,6,West,2970,3368,90,102
4,Tidal flats,18781,-124.088,40.8459,2016,1,6,West,2950,3359,89,101
1,Tidal marsh,18783,-124.084,40.8479,2016,1,6,West,2946,3372,89,102
1,Tidal marsh,18795,-124.084,40.8506,2016,1,6,West,2936,3375,89,102
1,Tidal marsh,18800,-124.086,40.8521,2016,1,6,West,2929,3371,88,102
4,Tidal flats,18805,-124.095,40.852,2016,1,6,West,2922,3347,88,101
4,Tidal flats,18806,-124.165,40.8362,2016,1,6,West,2922,3143,88,95
4,Tidal flats,18825,-124.108,40.855,2016,1,6,West,2901,3316,88,100
4,Tidal flats,18852,-124.149,40.8576,2016,1,6,West,2858,3209,86,97
1,Tidal marsh,18854,-124.151,40.8591,2016,1,6,West,2851,3206,86,97
1,Tidal marsh,18859,-124.149,40.8616,2016,1,6,West,2844,3214,86,97
1,Tidal marsh,18892,-124.149,40.8743,2016,1,6,West,2799,3227,84,97
1,Tidal marsh,18896,-124.139,40.8787,2016,1,6,West,2791,3259,84,98
1,Tidal marsh,18913,-124.138,40.8889,2016,1,6,West,2755,3273,83,99
6,Woody,19207,-124.101,41.1564,2016,1,6,West,1830,3662,55,110
6,Woody,19209,-124.101,41.158,2016,1,6,West,1825,3664,55,110
6,Woody,19214,-124.105,41.1653,2016,1,6,West,1795,3661,54,110
10,Land-water interface,19216,-124.119,41.1639,2016,1,6,West,1789,3623,54,109
10,Land-water interface,19217,-124.12,41.1645,2016,1,6,West,1786,3621,54,109
10,Land-water interface,19221,-124.124,41.1651,2016,1,6,West,1781,3611,54,109
10,Land-water interface,19223,-124.129,41.1665,2016,1,6,West,1772,3599,54,108
10,Land-water interface,19225,-124.127,41.1672,2016,1,6,West,1771,3605,54,109
5,Open water,19242,-124.117,41.1773,2016,1,6,West,1743,3642,53,110
10,Land-water interface,19285,-124.117,41.1983,2016,1,6,West,1668,3665,51,110
